max_leadtime,avg_leadtime,lt_probs,nn_cost,nn_std,base_stock_cost,base_stock_std,myopic_cost,myopic_std,nn_vs_base_stock,nn_vs_myopic
3,1.1,"[0.2, 0.5, 0.3, 0.0]",6754.14,1691.6980523722311,5953.69,1671.2194511493692,4850.55,1793.4529621654426,13.44460326285044,39.24482790611374
2,0.7,"[0.3, 0.7, 0.0, 0.0]",6627.19,1714.1256762268047,5632.32,1911.8684048856503,5090.32,1857.7809929052457,17.663591557297885,30.192011504188333
1,0.0,"[1.0, 0.0, 0.0, 0.0]",5615.01,1593.1293261690967,5249.9,1623.4571106130275,5108.17,1981.141767037382,6.954608659212558,9.922144329573989
4,1.7000000000000002,"[0.1, 0.3, 0.4, 0.2]",6658.47,1784.3816433431498,6162.67,1758.6726247656215,4943.03,1935.2304020710299,8.045214168534098,34.70421988132786
5,2.2,"[0.1, 0.2, 0.3, 0.2, 0.2]",6701.09,1881.2118599190255,6764.84,1756.7230670768802,5072.99,1911.0254655289136,-0.9423726207863026,32.09349910013621
3,0.8999999999999999,"[0.4, 0.3, 0.3, 0.0]",6321.75,1608.178419050573,5821.35,1874.492418629641,4753.6,1947.593843695343,8.595944239738195,32.98868226186469
3,0.6000000000000001,"[0.6, 0.2, 0.2, 0.0]",6506.77,1689.789429810709,5728.0,1739.4890054265936,4863.41,1996.5009696716902,13.59584497206705,33.790282949617676
